"filename", "language", "Markdown", "JavaScript", "JSON", "XML", "JSON with Comments", "JavaScript JSX", "PostCSS", "comment", "blank", "total"
"e:\bitcode-task\backend\package-lock.json", "JSON", 0, 0, 1697, 0, 0, 0, 0, 0, 1, 1698
"e:\bitcode-task\backend\package.json", "JSON", 0, 0, 30, 0, 0, 0, 0, 0, 1, 31
"e:\bitcode-task\backend\src\controllers\auth.controller.js", "JavaScript", 0, 306, 0, 0, 0, 0, 0, 58, 64, 428
"e:\bitcode-task\backend\src\controllers\comments.controller.js", "JavaScript", 0, 157, 0, 0, 0, 0, 0, 12, 21, 190
"e:\bitcode-task\backend\src\controllers\roadmap.controller.js", "JavaScript", 0, 44, 0, 0, 0, 0, 0, 3, 9, 56
"e:\bitcode-task\backend\src\db\commentSeed.js", "JavaScript", 0, 88, 0, 0, 0, 0, 0, 5, 13, 106
"e:\bitcode-task\backend\src\db\db.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 0, 4, 24
"e:\bitcode-task\backend\src\db\seed.js", "JavaScript", 0, 87, 0, 0, 0, 0, 0, 0, 7, 94
"e:\bitcode-task\backend\src\index.js", "JavaScript", 0, 25, 0, 0, 0, 0, 0, 0, 6, 31
"e:\bitcode-task\backend\src\middlewares\auth.middleware.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 0, 4, 26
"e:\bitcode-task\backend\src\middlewares\validate.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 0, 5, 20
"e:\bitcode-task\backend\src\models\comments.model.js", "JavaScript", 0, 38, 0, 0, 0, 0, 0, 0, 3, 41
"e:\bitcode-task\backend\src\models\roadmap.model.js", "JavaScript", 0, 38, 0, 0, 0, 0, 0, 0, 3, 41
"e:\bitcode-task\backend\src\models\user.model.js", "JavaScript", 0, 37, 0, 0, 0, 0, 0, 0, 3, 40
"e:\bitcode-task\backend\src\routes\auth.routes.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 0, 3, 25
"e:\bitcode-task\backend\src\routes\comments.route.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 10, 8, 36
"e:\bitcode-task\backend\src\routes\roadmap.routes.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 3, 3, 16
"e:\bitcode-task\backend\src\validators\auth.validator.js", "JavaScript", 0, 33, 0, 0, 0, 0, 0, 0, 6, 39
"e:\bitcode-task\frontend\README.md", "Markdown", 23, 0, 0, 0, 0, 0, 0, 0, 14, 37
"e:\bitcode-task\frontend\actions\comments.js", "JavaScript", 0, 130, 0, 0, 0, 0, 0, 7, 12, 149
"e:\bitcode-task\frontend\actions\loginAction.js", "JavaScript", 0, 25, 0, 0, 0, 0, 0, 1, 6, 32
"e:\bitcode-task\frontend\actions\registerAction.js", "JavaScript", 0, 25, 0, 0, 0, 0, 0, 0, 5, 30
"e:\bitcode-task\frontend\actions\roadmaps.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 0, 6, 28
"e:\bitcode-task\frontend\app\auth\login\page.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 0, 3, 24
"e:\bitcode-task\frontend\app\auth\register\page.js", "JavaScript", 0, 31, 0, 0, 0, 0, 0, 0, 2, 33
"e:\bitcode-task\frontend\app\error.js", "JavaScript", 0, 23, 0, 0, 0, 0, 0, 0, 3, 26
"e:\bitcode-task\frontend\app\globals.css", "PostCSS", 0, 0, 0, 0, 0, 0, 44, 1, 8, 53
"e:\bitcode-task\frontend\app\layout.js", "JavaScript", 0, 29, 0, 0, 0, 0, 0, 0, 5, 34
"e:\bitcode-task\frontend\app\not-found.js", "JavaScript", 0, 23, 0, 0, 0, 0, 0, 0, 3, 26
"e:\bitcode-task\frontend\app\page.js", "JavaScript", 0, 101, 0, 0, 0, 0, 0, 0, 3, 104
"e:\bitcode-task\frontend\app\providers\AuthProvider.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 57, 0, 2, 12, 71
"e:\bitcode-task\frontend\app\providers\queryclientProvider.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 9, 0, 0, 3, 12
"e:\bitcode-task\frontend\app\roadmaps\[id]\page.js", "JavaScript", 0, 74, 0, 0, 0, 0, 0, 0, 6, 80
"e:\bitcode-task\frontend\app\roadmaps\layout.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 2, 12
"e:\bitcode-task\frontend\app\roadmaps\page.js", "JavaScript", 0, 32, 0, 0, 0, 0, 0, 0, 4, 36
"e:\bitcode-task\frontend\app\verify-email\EmailVerificationPageClient.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 38, 0, 0, 8, 46
"e:\bitcode-task\frontend\app\verify-email\page.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"e:\bitcode-task\frontend\app\verify-reminder\VerifyEmailPageClient.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 16, 0, 0, 3, 19
"e:\bitcode-task\frontend\app\verify-reminder\page.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"e:\bitcode-task\frontend\components\AuthForm\AuthForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 76, 0, 0, 9, 85
"e:\bitcode-task\frontend\components\AuthGuard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 22, 0, 0, 6, 28
"e:\bitcode-task\frontend\components\Badge.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 19, 0, 0, 1, 20
"e:\bitcode-task\frontend\components\Comment.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 105, 0, 0, 12, 117
"e:\bitcode-task\frontend\components\CommentBox.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 36, 0, 0, 6, 42
"e:\bitcode-task\frontend\components\CommentSection.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 151, 0, 4, 11, 166
"e:\bitcode-task\frontend\components\Dropdown.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 97, 0, 0, 13, 110
"e:\bitcode-task\frontend\components\FilterSort.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 44, 0, 1, 5, 50
"e:\bitcode-task\frontend\components\LayoutWrapper.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 18, 0, 0, 4, 22
"e:\bitcode-task\frontend\components\Loginform.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 73, 0, 0, 7, 80
"e:\bitcode-task\frontend\components\Milestone.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 18, 0, 0, 2, 20
"e:\bitcode-task\frontend\components\MiletoneDetail.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 49, 0, 0, 2, 51
